0x2093...3343|1,038,352,016.03|15,152.33|262.19%
0xc902...8d6d|24,192,388,953.38|353,011.65|262.20%
0x94F3...E804|3,781,605,288.24|55,154.47|262.32%
0xA260...bB5B|348,464,421.81|5,081.87|262.35%
0xffDb...9000|349,482,028.10|5,096.67|262.35%
0x9604...2652|14,686,032,446.77|214,172.77|262.35%
0xdAC5...1DAd|912,997,895.22|13,311.99|262.40%
0xFCb2...5759|2,055,682,479.10|29,964.57|262.48%
0xa817...480c|1,718,684,269.95|25,049.53|262.51%
0x578F...A33D|742,263,612.41|10,817.77|262.52%
0x952c...f40b|290,111,137.16|4,227.71|262.54%
0x3C5c...A56B|1,903,336,129.68|27,736.60|262.55%
0x74c9...297E|600,807,986.89|8,755.09|262.55%
0x5331...dF2E|1,072,343,648.51|15,623.76|262.60%
0x30D3...08da|2,957,614,292.70|43,086.97|262.63%
0x9E59...857b|2,336,008,158.45|34,008.60|262.80%
0xd511...5Db4|2,950,955,746.14|42,953.03|262.85%
0xDFa7...4F8D|3,394,792,906.21|49,392.12|262.97%
0xCb63...F93D|343,529,938.92|4,997.60|262.99%
0x301c...EF10|2,238,717,785.30|32,567.07|263.01%
0x71A6...faD7|3,263,588,913.96|47,428.17|263.27%
0x19ac...2F5B|595,163,976.04|8,648.18|263.30%
0xD22f...6ddb|498,610,725.65|7,245.15|263.30%
0x295B...323d|437,114,307.25|6,348.35|263.44%
0x1e44...8086|197,434,665.69|2,867.11|263.46%
0x2d22...0A47|140,000,000.00|2,032.51|263.53%
0x6C33...99C4|3,895,929,090.21|56,553.57|263.57%
0x1b22...F0f5|773,732,315.87|11,229.35|263.62%
0x0C98...E243|622,906,172.33|9,037.78|263.70%
0x2406...399a|520,757,312.71|7,555.14|263.72%
0x106a...7eF7|1,504,880,142.36|21,823.16|263.83%
0xE464...240D|903,578,885.71|13,100.86|263.88%
0x060B...3Df2|440,180,603.26|6,380.12|263.96%
0x06b4...82A0|145,165,008.85|2,103.50|264.04%
0xe9Ac...B931|587,855,118.90|8,513.23|264.19%
0x8f37...0555|370,445,103.06|5,361.39|264.36%
0xfcFC...1719|1,102,580,563.37|15,954.60|264.40%
0x2F9E...16d0|4,275,620,229.06|61,859.90|264.44%
0xC57A...D469|2,662,748,000.00|38,522.27|264.46%
0x7179...Bf3e|874,437,171.39|12,644.48|264.59%
0xE63e...5Ab9|146,902,339.84|2,124.09|264.61%
0x776c...0819|950,000,000.00|13,734.23|264.64%
0xBdc3...4e6A|930,182,682.75|13,445.27|264.69%
0xD263...cc87|1,750,000,000.00|25,286.00|264.79%
0xBA32...3FC2|665,937,470.96|9,619.51|264.86%
0x9309...14a6|3,592,794,104.57|51,877.11|264.97%
0x8042...863e|3,439,518,407.93|49,641.60|265.09%
0x8851...4fB8|17,300,000,000.00|249,638.88|265.14%
0x60Ec...CAa6|2,445,873,591.34|35,287.87|265.19%
0x7EEC...E080|952,954,411.43|13,748.33|265.20%
0x1ab2...1513|138,663,459.02|2,000.00|265.26%
0x2B8f...B458|548,900,000.00|7,913.06|265.40%
0xa863...1eC5|138,735,213.10|2,000.00|265.40%
0xEdC9...9D38|302,762,259.72|4,363.30|265.48%
0x3a03...F575|298,423,254.76|4,299.37|265.57%
0x0219...8652|1,146,189,000.00|16,508.85|265.63%
0xaB42...0F72|208,016,056.00|2,995.95|265.65%
0xEEce...964d|500,000,000.00|7,200.00|265.69%
0x5AB2...9162|600,000,000.00|8,637.50|265.77%
0x029C...03Fa|684,547,808.37|9,853.70|265.80%
0xbdD8...9a6f|1,997,002,605.89|28,735.15|265.89%
0x036c...B4CD|194,930,000.01|2,804.67|265.91%
0x0B6C...59e7|447,400,000.00|6,436.78|265.93%
0x2C1f...D27D|154,205,000.00|2,218.22|265.97%
0x75AD...0695|1,307,044,916.09|18,798.21|266.02%
0xEd0b...6DEd|800,000,000.00|11,500.00|266.16%
0xc75A...869c|2,892,204,191.74|41,573.69|266.17%
0x319d...6028|319,687,674.99|4,595.21|266.17%
0xd03d...049f|173,953,659.17|2,499.36|266.29%
0xE8Df...57E1|803,180,000.00|11,536.85|266.36%
0xBAC5...3beA|558,227,020.79|8,016.04|266.44%
0x63e7...BA27|2,176,411,958.16|31,248.56|266.47%
0x0678...8ebB|338,917,493.89|4,865.49|266.51%
0x2292...b53a|6,146,659,400.94|88,239.66|266.51%
0x592D...867B|146,938,704.49|2,108.67|266.61%
0x85C4...2a08|257,635,030.57|3,695.02|266.77%
0x09fB...8C8b|193,812,271.67|2,778.83|266.85%
0x180f...1Ffa|450,000,000.00|6,446.83|267.06%
